P23025	P20585
P02545	O60238
P17096	Q01844
P80723	Q15029
Q09472	Q5D1E8
Q9UGL1	Q9UBB5
P04150	Q9Y4B4
P04637	Q96FW1
Q00987	P46379
P04637	P35249
P04637	Q8TDN4
Q9UER7	O15350
P00736	P05155
Q9UKV8	Q12905
Q9HAU5	Q04637
P46527	P62877
Q09161	P29372
P38936	P04183
P04150	P17612
Q00987	P98177
P04637	P17987
P29353	P35030
P53350	Q9P0K7
Q9HAU5	Q9GZQ8
P11387	Q86VP6
Q13573	Q9NVD7
P04637	Q12888
Q93009	P49750
P25963	O43318
P49841	O15169
Q13573	Q14204
P23025	P15927
P01100	Q9UJ04
P04637	Q9UKY1
Q13573	P52272
P24522	Q07869
Q01844	Q9UH92
Q09472	P61244
P08047	Q13363
Q13573	P50991
P54725	P49902
P04818	O75340
Q13569	P54727
Q9UJY5	Q86X19
P09651	P48634
Q9UER7	P04637
Q13573	Q96P70
Q09161	Q9Y606
Q00987	P06400
Q09161	Q99614
P24522	Q7Z5J4
Q00987	O94875
O75496	Q2NKX9
P53350	P46379
O15350	P58340
Q93009	Q9Y6K1
Q9Y6Q9	P62195
P40337	Q9BXJ5
Q93009	Q7Z6G3
Q9NQB0	Q9UJU2
P35637	Q9UBS0
Q13569	P19793
P29353	Q16832
P51946	Q96JH8
P29353	Q3ZCQ8
P53350	Q7L2Z9
P46531	P09874
P25963	Q15418
P24522	P10276
O43464	Q9P0J0
Q14061	O75347
Q13541	Q9Y6B2
P46531	Q96JK9
O76070	P17844
P27695	O43684
P49841	P07900
Q16633	P14859
P04637	Q49MG5
Q00987	Q16623
Q01844	P17096
Q13573	Q8IXH7
P09651	Q9H1J1
Q93009	O15014
Q01844	Q96FF9
P15884	O15105
P49841	O14733
P09651	Q00839
P15884	P17542
Q93009	Q96Q83
Q14722	Q12959
P61244	Q15672
P04637	O14974
Q00987	Q9Y5M8
P49841	P49815
Q9H2S9	Q9UKT9
P38936	Q01094
P04637	Q9H9B1
P52298	P27635
Q8WZ42	P08047
Q9UER7	P09874
Q9NQC3	O60749
P02545	Q8WW12
Q13573	Q9UBB9
P01100	Q96JP5
Q13573	Q8NBB4
P46531	Q5UIP0
P09651	Q9NUD5
Q09472	Q8N3Y1
Q13573	Q96A65
P49841	Q9UM47
O15350	Q9BZG8
P37840	Q15011
O15350	Q9UER7
P49841	Q9H4H8
Q00987	O60716
P60896	A6NKF1
P17677	P51178
P35637	Q15056
P08047	P19338
Q09472	P29590
P40337	Q9NWT6
P27695	O60506
P04637	Q5VWQ8
Q13573	Q9Y6K9
P15884	Q9NQL9
Q09472	Q08379
Q09472	O15151
P37840	P53350
P14635	Q01105
P46531	P22670
P15884	Q9BQ13
P08047	Q13526
P02545	P17252
P19793	P35222
Q00987	P14854
P25963	O43583
P04818	Q68CZ1
Q93009	Q01831
O15350	Q96EB6
P27695	Q96EB6
P49841	Q16236
P04818	Q9UBE0
Q13573	Q96I25
Q9H832	Q99942
P40337	P13797
Q09472	Q02447
P19793	Q2M1K9
P11387	P26368
P15884	Q9Y2J2
P14635	Q14674
P02686	Q9NQC3
P04637	Q9Y618
Q13573	P55081
Q9UBE0	Q9NVE7
P04637	Q53ET0
P04637	Q86X55
P49841	Q9H0C8
Q9Y6Q9	Q09472
P25963	P61201
Q9Y6Q9	P04637
P37840	Q71DI3
P40337	Q9Y2N7
Q00987	O14965
P02545	P11388
P46531	O60341
Q9NX55	Q9BQY4
P38936	P62851
P27695	P52926
P02545	Q9UKX7
P60896	Q96EV2
Q01844	Q53EZ4
P01100	P02545
P38936	O14654
Q00987	Q9Y285
P25963	Q8IUD2
Q13541	P09651
O15169	Q5VWQ8
P40337	Q6IE81
P61244	Q99549
Q01844	Q9UBE0
P04637	Q01105
P04637	Q01844
P23025	Q92466
P49841	Q5VTB9
P40337	O14965
P29353	Q9H2M9
Q49AN0	P43243
Q14191	Q13111
P54725	O15265
P37840	O43768
P09651	Q8IXT5
Q14449	O43293
P35637	Q99615
P35637	Q14204
Q01844	Q96M83
P46531	O00303
P38936	Q07020
Q09472	Q16619
Q01844	Q14005
Q9UBE0	Q05397
P38936	Q13136
Q00987	P08195
P09651	P22626
O00488	O43318
P38936	P42766
P53350	P37840
Q9Y6Q9	P17844
Q9HAU5	P26651
P54725	P07108
P35637	P50991
Q9Y6Q9	Q6UB99
P04818	P16949
P37840	O00165
P38936	P33993
Q13573	Q15022
P29353	O00165
O15169	Q86X55
Q9UKV8	Q09161
P53350	O14965
P11387	Q9BQ67
Q9NQC3	Q7L014
Q09472	P14635
P41236	Q9UBB6
Q8N488	Q16254
P02545	Q9BYN8
Q09161	Q96IZ7
P61244	Q8TAD8
Q8N488	Q13387
Q9UBB5	Q9ULU4
P04637	O75340
P29353	P49137
P40337	P14866
P49841	P17252
Q00987	O75533
Q93009	Q9UHB9
P37840	P33992
P04637	P78347
P02545	P19338
P29353	P17677
Q93009	O43464
Q9Y6Q9	O75376
P14859	Q16633
Q00987	P46776
Q13569	P29590
P14859	P16220
P29353	P04264
P63027	Q9P0N5
Q9UGL1	P61956
Q01844	Q96AQ9
P49841	Q6UN15
P25963	P33993
Q9HAU5	Q8TAE8
Q00987	Q5VUA4
P49841	P11388
Q00987	P24522
P38936	Q04724
P60896	O00487
Q9HAU5	P05783
P53350	P51608
O15350	Q09472
P04150	P12931
Q9UKV8	O75533
O15350	P04637
Q8WZ42	Q9BYV6
P11387	Q13123
P04637	Q8NBJ5
P49841	P46531
P08047	P35869
Q13573	O75821
P46531	P12956
P04637	P47756
Q9UKV8	P46776
P27695	Q8N4N3
P19793	P10589
Q13569	Q13838
P08047	Q01094
Q14722	Q96SB4
P63027	Q12931
P35637	P22314
P04150	Q15788
Q00987	P27695
O14733	P49841
P35637	Q9GZQ8
Q01844	P15927
Q01844	Q9UGU0
P61244	P20226
P40337	P15880
Q00987	Q96AE4
Q13573	P10276
P25054	Q8N3V7
P02545	Q9NV56
P04637	Q12980
P35637	Q9NVT9
P49841	P15880
Q01844	Q8IYB3
P40337	O95267
Q00987	Q96J02
Q01844	Q9Y6V0
P41236	O95379
Q00987	P04075
P04637	O15353
P02545	Q96A57
Q9NQC3	P58107
P15884	O15164
Q9Y6Q9	Q15596
P40337	O96017
P09651	O60437
Q01844	Q99504
Q13573	P46100
P14859	P21127
Q09472	Q92831
Q93009	Q9HCG8
P29353	Q15843
P02545	Q9H910
P19793	Q9Y5X4
Q93009	P46109
P04637	Q9UJ04
Q92886	P15884
Q00987	P61978
Q00987	O14737
Q00987	Q96DY7
P14635	Q99741
P09651	P17844
P38936	P62879
P04637	P62899
P04637	Q9Y468
Q8N488	Q8TE76
P14635	Q9NX18
P38936	Q7Z699
P04637	Q8N3Y1
P49841	P98170
P09651	P16104
Q09472	P53539
P01100	Q9HB71
Q9UKV8	Q8IUF1
P02545	O96028
Q00987	Q8NG27
P40337	P61978
P40337	O14737
P04637	P29590
P46531	O60264
P25054	Q9UPN3
Q9HAU5	Q7L4I2
Q13573	Q9UPT5
P02545	P12821
P24522	P04637
P04637	O15151
P02686	P49336
P40337	P47914
P29353	O15357
Q16595	P12814
Q09472	Q8IXJ6
Q09472	P35659
Q09472	P38936
Q08209	Q53ET0
O14733	Q9Y6R4
Q9UGL1	Q6P1X5
P46531	O43290
P38936	Q00987
Q9UKV8	P47914
P54725	Q8N543
Q8N488	Q9BYE7
P51608	O75400
P35637	Q15022
P04150	P21579
P04637	P35251
Q13573	Q9NSV4
P04637	Q9UKJ3
Q9UKV8	Q9BQA1
O15350	Q8WVM7
P02545	Q9BRR8
P29353	Q9UBU9
P25963	Q96FV2
P54725	P04637
Q9UER7	O60264
O15169	P29590
Q13573	O43684
Q09472	Q92585
P09651	P58107
P02545	Q14676
P19793	P49711
P35637	O75815
Q49AN0	Q9H773
P37840	P07900
Q13573	Q9UBF2
P29353	P07900
P04637	Q96DU7
Q93009	Q9P2G9
P04637	P62877
P00736	Q09472
Q09472	Q14686
P04637	O60573
Q00987	P62424
Q9UKV8	O43242
Q13573	Q96AE4
Q8WZ42	Q01780
P30291	Q96NY9
Q14191	Q96S55
P16949	O43865
O15350	Q96PM5
P04150	Q8TDD1
P04150	Q92932
P37840	Q9BXM7
P40337	P62424
P09651	P35030
Q09472	P05114
Q9UER7	O94880
P01100	Q8WVZ9
Q93009	Q7L4P6
O00488	Q9P1U0
P38936	P16455
P54725	Q8TAP6
P09651	Q07666
Q00987	P62917
P01100	P51668
P14635	Q15311
P49841	P33076
P09651	Q96MU7
P09651	P06576
P60896	Q8IWG1
P38936	O43293
P54725	P54105
P02545	O15042
P04637	Q86XK2
P61244	O95785
P40337	Q01094
Q13573	Q9UER7
P09651	P25963
P14635	Q8WVV9
Q9UKV8	P62424
Q9UBE0	Q9Y4K3
P35611	P02549
P49841	Q01094
P46531	Q9Y4X5
Q09472	Q9H4B6
P27695	P06748
Q49AN0	Q15029
P60896	O14562
P15884	O00512
Q93009	Q13618
Q00987	Q09472
P54725	P09874
P37840	Q16854
Q00987	P04637
Q01844	Q92585
P49841	Q13163
P11387	P46087
P04637	P06753
Q13573	P62195
Q9UKV8	O15350
P27695	P05423
P49918	P06400
Q9UER7	O15360
Q13573	Q96EB6
Q9UER7	Q92793
P49841	O15294
P27695	P49736
P54725	Q6AI12
O75496	P27540
Q13573	O43301
Q9UKV8	P62917
Q14191	Q9Y620
Q01844	Q14686
P04637	P02545
P02545	P33993
P60896	P46379
Q13573	P22626
Q8WZ42	Q15843
P29353	P13797
P49841	Q9NS23
P35611	Q8IUH5
Q93009	Q9Y3C5
P08047	P25791
P35637	Q13043
Q8N488	Q9HAH7
P37840	Q8IZL8
Q49AN0	O75592
Q08209	O00233
P24522	Q00013
Q9UER7	Q53EL6
Q13573	Q16625
P09651	Q14684
Q13573	O43242
P63027	O75558
Q01844	Q96PU8
Q9UKV8	P04637
Q13573	O75400
Q9NX55	Q14203
P53350	Q09472
Q00987	P21333
P53350	P04637
P09651	P49736
Q93009	Q96JH8
P14859	P06401
P17096	Q9BUG6
P09651	Q99558
P60896	O94822
P40337	P35268
P04637	O60285
Q01844	A0AVK6
P27695	O95989
P02545	Q9UH99
P40337	P21333
P11387	Q9H211
Q09161	P41250
P49841	P62851
Q13573	Q07864
Q13573	Q9H267
P51608	O75376
Q93009	Q13114
Q14191	P54132
P46531	Q9H8S9
Q09161	Q06210
P37840	P46821
Q00987	P09874
Q09472	O14901
P23025	Q15198
P16949	Q9UHV9
P14859	P20823
P15884	P22736
Q9HAU5	P84101
O43464	O75351
Q00987	P25098
Q00987	Q86UE4
P35637	Q9UHR5
P09651	Q53RT3
P09651	O95644
P29353	P17252
P02686	P28702
P09651	P05362
Q01844	Q16637
P40337	P42766
Q09161	Q12982
Q9NQC3	Q6PI78
P49841	P42766
P15884	Q86WQ0
P53350	Q15154
Q09472	P53999
P40337	P33993
Q9NQB0	P09874
O15350	Q96LA8
P35637	P00918
P46531	O94906
Q9UKV8	P54105
P04637	Q96G74
Q00987	P58107
Q13573	P62917
P40337	Q96GA3
Q8WZ42	Q5VST9
Q93009	Q12933
P61244	Q13287
P04150	Q96C00
Q9UKV8	Q7RTS6
Q09472	Q13573
Q01844	Q02930
Q01844	Q9Y508
P41236	P52306
P38936	P20248
P15884	O60336
P53350	Q9HAW4
Q9UKV8	Q86UE4
Q09472	P14653
Q9NQC3	Q9NZ81
Q00987	P42772
Q02548	Q9UER7
Q13573	Q7L014
P40337	O43597
P15884	O43699
Q13573	Q09472
P29353	O15027
Q13573	P04637
Q9UJY5	Q9UMZ2
P09651	Q68CP9
P04637	P49336
P63027	O14810
P43351	P12277
P49841	Q14449
P46527	P22314
Q13573	Q86U86
O75496	Q9UM11
Q9UKV8	Q9UHI6
P14635	Q8N0Z3
P17096	O75531
P40337	Q04724
Q9Y6Q9	Q92793
P38936	P55072
P46527	O60684
Q00987	P06576
P27695	P33992
P14635	Q14145
Q01844	P16435
P35637	Q9P212
Q9Y3M2	P35222
P35637	Q07065
Q9HAU5	Q9H4A3
Q13573	P17844
Q09472	Q9BXL5
Q13698	Q86UT5
Q09472	Q6PCB8
Q14449	P49841
P38936	O14576
Q01101	Q9BX66
P04637	P18124
P19793	Q07869
P38936	Q92831
P60896	O95817
Q01844	P49841
Q01844	Q6PJW8
Q9H832	Q04864
Q00987	Q6PHW0
P14859	P04150
P11387	O75533
P24522	O95257
P25963	P55072
P25963	P42345
P15884	Q8IXL7
P09651	P33992
P04637	Q8N0Z3
P16949	P02751
P14859	P20700
P08047	Q02447
P09651	Q13469
P02545	Q00987
Q13573	O75376
P04637	Q9H444
P29353	O60674
P09651	P04264
P38936	Q8IZ69
Q9UGL1	O00555
P09651	Q96M27
Q00987	P62854
P02686	Q9NVD7
Q14191	P29590
Q01844	Q96GG9
Q01844	Q86X53
P20810	P50851
P38936	P42574
Q00987	Q86U42
P78356	Q9BUQ8
P19793	P10276
P60896	Q99933
P49841	Q96GR2
P38936	Q12834
Q99967	P50458
P15884	Q7RTS1
P09651	P19105
P46531	P98175
Q13573	P58107
Q9Y5B0	Q9NPJ6
Q01844	O00193
P46531	P51532
P14635	Q14203
P49841	P62879
P35612	Q7L190
P53350	Q5BJF6
P14635	Q9UM11
O15169	P35222
O15350	Q92793
P04818	O43865
P04637	Q96RL1
Q9UKV8	P62854
P09651	P07476
Q09472	P12931
P37840	P52298
Q00987	P61081
P49841	Q14147
P08047	P42285
Q01844	Q9NWB6
Q92886	Q92793
P37840	Q9NZZ3
Q13573	Q5UIP0
P04637	Q9P2P5
Q9Y6Q9	Q10571
Q13573	Q9Y3U8
Q14191	Q9UBT6
Q13573	Q8WVM7
P04637	Q8WZ73
Q13573	Q86XP3
P09651	Q13541
P51608	Q969G3
P49841	Q15404
Q00987	Q969G3
P08047	Q86U70
P25054	Q86T90
Q00987	P18847
P40337	P61081
P19793	Q9NRR5
Q96T21	Q15154
Q01844	P61956
Q01844	Q9P1Y6
P09651	P62081
P04150	Q9Y2J2
P49841	Q00987
P04637	O15304
Q09472	Q15788
P40337	Q9Y376
P15884	Q9UJU2
Q09472	Q13216
Q93009	Q8TES7
Q13573	O00203
Q9NX55	Q8IXH7
P49841	Q16204
P04637	P42677
P01100	P06400
P52298	Q9H814
Q09472	Q9H9S0
P25054	P21333
Q93009	P14868
Q00987	P12956
Q9UBE0	P30566
Q9UBE0	Q86TI2
P04637	P51668
P11387	P61978
P38936	O15078
P04637	Q9C009
P07476	Q92817
Q00987	Q92630
Q00987	Q9H4L4
P09651	Q53EL6
Q09161	Q14204
Q9NQB0	P12956
P02686	Q9GZU7
P27695	Q9UBU9
P08047	P25208
Q13569	Q01831
P51946	O00267
P41236	Q96CN7
O15350	O95995
O14733	Q12934
Q9UKV8	P12956
Q9UJY5	Q15276
P24522	P62081
Q08209	P42574
Q01844	P35249
P25054	O95243
Q09472	Q13029
P02545	P51648
Q01844	Q96HA7
Q14061	P37837
P04150	P14859
P09651	Q15233
P35637	P17844
O43464	P47710
Q9UKV8	P39023
Q8WZ42	Q96EZ8
P20810	Q92743
P04150	Q13263
Q00987	Q6IAA8
Q13573	Q96GM5
P15884	Q13569
P09651	Q9UBU9
Q49AN0	O15534
Q93009	Q9Y4K3
P14859	O43763
P35637	P15884
P04637	Q8NA92
P14635	P30304
P04637	Q5T447
P38936	Q15532
P09651	P07900
Q00987	P04264
Q9UJY5	O95817
P49354	Q9UBN7
P02545	Q8IYB3
Q99967	Q92793
P11387	P55212
Q09472	Q10586
P54725	Q9H0A6
P54725	Q92793
Q49AN0	P62195
O15350	Q13569
Q00987	Q9BSH4
Q09472	Q9NQB0
Q9UGL1	A8MV65
P54725	P20248
O43236	P98170
P16949	P46527
Q93009	Q9UNF1
Q01844	Q9UHV9
Q00987	O43290
Q09472	Q8IZL2
P01100	P17861
P20810	O75145
P46531	O43143
P15884	Q96NJ5
P19793	P62195
P49841	Q13239
P46531	O75132
P04637	Q9H6S0
P08047	P42574
Q09161	Q04637
Q13573	Q6P3W7
Q01844	Q15906
Q93009	Q49AN0
Q9HAU5	Q01780
P43351	Q14191
P38936	O00311
P04637	O75182
Q01844	Q9H869
P54725	P55072
Q01844	P23276
Q9UER7	P35520
Q9UJY5	O14908
Q9UKV8	Q96RG2
P08047	Q7Z3K3
Q49AN0	Q9NTJ3
Q9HAU5	P10242
Q93009	Q6PID8
P04150	Q9H5N1
Q8WZ42	Q15418
Q93009	Q9UJ55
Q01844	P11717
P04150	Q12952
P04637	P08151
P01100	P10276
P02545	Q8NF91
P46531	Q9UPP1
P04150	O15164
Q01844	Q6P2H3
Q01844	Q68EM7
Q01844	Q92934
P46531	Q9Y2L9
P11387	P04637
Q09472	P17735
Q09472	P02751
Q09472	P06454
P15884	Q494U1
P35637	Q86XP3
P46531	P35249
Q00987	P62081
Q09472	P01100
P25963	P63208
Q00987	P55209
Q9UER7	Q8IZQ1
P53350	Q8N344
Q9UBE0	O43399
O43464	Q12933
O15169	Q9H6S0
Q00987	Q92793
P04637	Q99615
P35637	P06576
P04637	P52272
P04637	P32745
P53350	Q02241
P09651	P61254
Q13573	Q9H4L7
Q9UKV8	Q13541
P24522	Q9H4H8
Q00987	O75604
P11387	O75147
Q9Y6Q9	Q13526
Q09472	P78318
Q13573	P15170
P27695	P14866
Q13573	Q05519
Q9Y5B0	P49336
Q09472	P15408
P46531	P78537
P35637	Q9P127
P35637	Q3ZCQ8
Q13573	O60264
Q93009	Q9BYV6
Q9UBB5	Q86YP4
P41236	Q9NYB0
P11387	Q9NUW8
P38936	Q6EMB2
Q09161	Q15022
Q9H832	Q96S59
P11387	P09874
Q01844	P02751
P25054	Q16787
P17096	P18754
Q9UBE0	Q53GS9
P54725	Q9UNM6
Q49AN0	P14868
P04818	P78318
P19793	Q09472
P46531	Q13422
P02686	Q13043
O75496	Q9H211
P04637	P17028
P04637	Q96BD6
P53350	Q9H8V3
Q00987	Q3YBR2
P35637	P49736
P04637	Q9BWC9
O15350	O95155
Q00987	P84996
P09651	P78563
Q00987	P33991
P53350	P55072
P14635	Q9UII4
P49841	Q13233
P14635	Q9UKT4
Q09472	P15923
P17096	P10276
Q9UBE0	O95817
P09651	Q6UN15
Q00987	Q13641
Q00987	Q9Y6B2
P46531	O95785
P24522	P09651
Q01844	P78318
P08047	Q08050
P04637	Q9UBB9
O15350	Q9UKV8
P04637	Q9GZQ8
Q00987	P20309
P14635	Q99501
O15169	P49840
P09651	O15027
Q49AN0	Q86VP6
Q93009	Q15287
P16949	Q13263
P25963	P61956
P09651	Q8N9R8
P08047	Q13127
P80723	Q8N3V7
Q01844	Q93062
Q00987	Q8N5U6
P29353	P12314
P25963	Q9NWM3
Q8WZ42	O75147
Q01101	Q01726
Q8WZ42	P21333
O60927	P41236
O15350	Q13526
Q09472	P05783
P20810	P42574
Q9UKV8	Q9UPY3
Q09161	P37840
P08047	P29353
Q9H832	Q13702
P38936	Q96FW1
P49841	O15085
P19793	O75376
P08047	P56524
Q09472	Q99966
Q13573	Q12874
P04637	Q9UII4
P11387	Q9BX70
Q00987	O94906
Q9UJY5	Q6ULP2
P09651	Q9Y399
P49841	Q8N205
P46527	Q5MJ70
Q00987	P54725
Q09472	Q00839
P51946	Q96AE4
P09651	Q9UKV8
Q9Y6Q9	P55055
P02545	Q9UHQ1
Q9UKV8	P06730
P09651	P19338
P08047	P53999
Q00987	P55884
P14635	Q7Z7A1
P25054	P04264
Q09161	Q9H944
P14859	P17096
Q9UER7	O43791
O43464	Q13263
P49841	Q06330
Q01844	Q13618
Q9NX55	P42858
Q09472	P49716
Q9UKV8	Q86XN8
P14635	Q9H211
P04150	Q99757
P02545	Q8WUM0
Q00987	Q9Y3T9
Q969F2	P35637
P54725	Q9BV73
P09651	Q9UHX1
Q93009	Q9GZU2
P25963	Q96FW1
P53350	Q8IZT6
Q8WZ42	P0C862
P53350	Q9UBD5
P60896	Q86XP3
Q9Y6Q9	Q12888
P01100	O75030
Q13573	Q15233
P27695	Q15554
P35869	P51532
P11387	Q14684
P09651	P98170
P19793	Q8WZ75
P14635	O43488
P29353	O75569
Q49AN0	Q07666
Q01844	O95218
Q9NQI0	Q96GG9
O15169	Q9GZV5
Q09472	Q12933
P04637	Q96S59
Q13573	Q9UBU9
Q9UER7	Q86X55
P46527	Q7L5N1
P17096	P42858
P02545	P98175
P04150	P02794
Q9UKV8	Q07021
P09651	P78332
Q09472	O15105
Q13573	Q9UHD8
Q02548	P10242
Q01844	P61758
Q09472	P17542
Q00987	P09651
Q13573	P07900
P54725	O95155
P04150	P22736
P19793	Q15596
Q00987	Q13363
P25054	Q8TF01
P04150	P16220
P14635	Q8N122
Q9H981	Q5QP82
P38936	P08670
Q09161	Q99728
P49841	P17612
P09651	Q4G0J3
P30291	Q12769
Q13573	Q9NRL2
O15169	Q15583
Q00987	Q9BSJ8
P19429	P13805
P14635	Q09161
P49841	Q8TDN6
Q49AN0	P42704
P19793	Q15648
P25054	Q92793
Q09472	Q96EB6
P14859	P12956
Q08209	Q8TDC0
Q9UKV8	P09651
P17096	O60506
P09651	Q1KMD3
Q01844	Q01130
P49841	Q16637
P35869	Q13620
Q8N488	P04637
P52298	Q13838
P09651	O43143
P15884	O15294
Q13573	Q9UBD5
P53350	Q13363
Q13573	Q9UNM6
O76070	Q9UK76
Q9HAU5	Q92900
Q01844	P19622
Q01844	Q12933
P04637	P40337
P01100	Q09472
P02545	Q13573
Q09472	Q06546
P49841	P30876
P02545	O75531
Q13573	Q5JR59
P38936	Q9ULV3
O15350	P62913
P53350	O14788
Q00987	P46531
Q9UKV8	Q9BV73
P08047	Q5U623
P53350	P05814
P53350	O14777
Q00987	O95155
Q9Y6Q9	O43791
P24522	Q9Y6R4
P17096	O14646
Q01844	P35637
P04818	Q9C0B0
Q9UJY5	Q7Z6B0
P08047	P12931
Q13573	Q8IZL8
Q9UGL1	P50222
Q09472	P23511
P04637	Q13043
Q9H832	Q86Y13
Q9UGL1	P49711
Q93009	P98177
Q01844	Q9H2G9
P35637	Q12874
P37840	P42285
P51946	P04637
P04637	P48634
P49841	P56524
P51608	Q13185
P35637	Q5T1R4
Q00987	Q13185
P15884	P21333
Q13541	Q04864
P38936	Q01105
Q13573	O75478
Q00987	Q9BWX1
Q01844	Q8WYA6
P07476	P04264
P51608	P12755
Q9Y6Q9	Q9Y618
P46531	P62899
P14635	Q9NSV4
P04637	Q9Y3P9
Q09161	O60749
Q00987	Q07812
Q00987	Q13620
Q13573	P09651
P35869	P61956
P40337	O95340
P15884	Q9NX01
Q9NQC3	O43791
Q93009	P06400
Q9Y6Q9	P19793
P35869	P20226
Q99967	P20226
P46527	Q96PM5
Q13573	Q7Z7E8
Q9UKV8	Q9H2U1
Q08209	Q92934
P16949	Q9NVW2
P02545	P61956
P46531	O00555
Q01844	Q4VCS5
P41236	P49841
Q00987	P98170
Q9Y6Q9	Q01844
P61244	Q969H0
Q49AN0	Q93009
P01100	Q9Y2K7
P40337	Q15459
P19793	Q13887
P35637	Q15233
P09651	P55265
Q13573	Q9C0J8
Q09472	Q13546
Q13573	O14777
P04637	Q00839
P04637	Q99728
P49841	O75354
Q8WZ42	Q92630
P40337	Q96GG9
P53350	Q13526
P27695	P33993
P24522	Q9UKY1
P35637	P84996
P04637	Q03701
P09651	Q04760
P04637	Q9UKG1
P46531	P35251
Q09472	Q7L5N1
Q13573	Q6UN15
P04637	Q9UBE8
P09651	Q9BY77
P04637	P28360
P35637	P07900
Q08209	Q9Y2W7
Q9UER7	P29590
P04637	Q96PE2
Q09472	Q06945
P15884	Q04724
Q9UBB5	Q92793
Q9UER7	O15151
Q13573	O95983
P04637	P42858
Q9NX55	Q3SY00
Q16633	P09086
Q9HAU5	P04183
P01100	Q5VV63
Q13573	P46531
P08047	P08670
Q00987	Q9Y6X8
P51946	P51948
P09651	Q13464
Q00987	P18621
O15169	Q8IWS0
P01100	Q15596
P14635	Q96EB6
P38936	Q96FS4
Q00987	P20226
Q00987	Q08499
Q93009	Q9UPN3
P38936	O60343
Q09472	P08047
Q00987	P16403
Q9UER7	P35251
P40337	Q93052
P09651	P61247
P80723	Q92614
P04637	Q07065
P15884	P50151
P46531	Q9UKT9
P02686	P51948
Q16143	Q9NVT9
Q01844	Q8WYQ5
P04637	Q9BZG8
P04637	Q9UER7
Q13573	P19338
P09651	Q86V81
O15169	P42858
P15884	O43929
P40337	P16403
Q00987	P30519
Q93009	Q8IX18
P49918	P20248
O43464	Q15287
P49841	P49768
P25963	Q01201
P01100	Q9P127
P40337	O60568
Q9UKV8	P18621
P15884	O60341
P09651	Q14232
P40337	Q99750
Q00987	Q13823
P53350	Q8N137
P04637	P62195
Q13573	Q9UHX1
Q09472	Q13227
P11387	P55072
O00488	Q8IWV7
P04637	Q96EB6
P53350	P30291
Q9UKV8	O43143
Q9Y6Q9	Q16667
O43464	Q93009
P09651	P38919
Q9UKV8	Q99848
Q9UGL1	P52824
Q01844	Q86Y82
P04637	Q9Y2S7
P04637	P22626
P20810	P12931
Q9Y5B0	Q96RN5
P25963	Q9C0H5
P25054	Q9BV73
P19793	Q9Y6Q9
P09651	P63173
P11387	Q13751
P40337	Q96FW1
Q01844	Q86VP6
P53350	Q7L5D6
O15169	Q9UER7
Q00987	Q12931
P01100	Q96GM5
Q09472	Q07666
P40337	P17987
Q01844	P49006
Q01844	O14497
P27695	P17096
P49841	Q96HA7
Q09472	O15162
P46531	Q02410
P38936	P46527
P53350	Q96EP1
Q01844	P37837
P35637	P09651
Q01844	Q92567
P25963	Q8N3Y1
P61244	Q9H3U1
P38936	Q99741
P01100	O95644
Q13573	Q15560
Q16143	O43236
P23025	Q969H0
P15884	Q14129
P04637	Q16401
P60896	P55072
P53350	Q12888
P01100	Q969G3
P24522	P19793
P01100	P18847
Q01844	Q9NRY5
P14635	Q09472
P27695	Q9UBP6
P02545	Q9Y6X4
P35611	Q9H840
P04637	Q05823
Q08209	P53805
Q16595	Q96RG2
Q09472	Q8WUF5
O76070	P31645
P54725	P29372
P54725	P54727
P14635	Q9H2G4
O15350	Q00987
P09651	P11387
Q93009	P63027
P27695	Q00987
Q13573	O43143
P02545	P46109
P40337	Q9UHV9
O14733	Q9UM73
Q9UKV8	Q9BQG0
Q09472	P06748
P15884	Q02363
P46531	Q6P2Q9
P01100	Q9BSF8
P54725	P28072
P01100	Q14320
P19793	O00327
O15350	P48431
Q13573	O75146
P15884	Q9NQ33
O15350	Q12980
Q16143	Q9UHK0
Q9HAU5	P62851
Q49AN0	Q9UBU9
P11387	Q92466
P25963	Q96HA1
P80723	P21333
Q93009	Q15170
P40337	Q9H869
Q01844	O15162
P35637	O95983
Q09472	Q9UL17
Q9HAU5	P0DPB3
P40337	Q99700
Q09472	O43474
P51946	Q13888
P04637	Q09472
P38936	Q9UKT9
P17096	P06748
Q09161	Q00013
P38936	P49005
P54725	Q01844
P49841	P08670
P25963	P62877
P09651	Q00987
P60896	Q15386
Q01844	Q96EV2
P02545	P02751
Q01844	Q9BXP5
Q08209	Q13114
P54725	Q5VV17
P09651	O15372
Q16143	P37840
P49841	Q8IWV7
P24522	P62879
P49841	Q13085
P78356	Q9Y2J2
Q01844	P01871
P38936	Q4VCS5
O75496	Q7KZ85
P04637	Q7L5N1
P08047	Q00577
O15350	P29590
Q9NQB0	Q9NSA3
Q9H2S9	Q9BZS1
P04637	P17844
P07476	P09651
Q09472	P53350
Q09472	Q9UHV2
O14733	Q96RU7
P04637	P16104
Q09472	Q6UUV9
P09651	Q9NRX1
P04637	O43257
Q9UER7	P35659
Q09472	P20749
Q14191	P43351
P52298	Q9GZZ9
P60896	Q9UNM6
Q00987	Q9Y620
Q00987	O14746
P60896	P54725
Q01844	P26368
P04637	P15884
Q93009	Q14789
Q9UKV8	P61247
P11387	P09651
P25963	Q96EP0
